122130,Zezinho,4,2.5,5.6,9.9
10,Adriley,5,5.5,3.6,9.9
1210,Thiengo,6,5.5,5.6,9.9
121230,Califa,7,5.2,5.6,9.9
12130,Luffy,8,5.5,1.6,9.9
1240,Zoro,9,5.5,5.5,9.9
130,Ussop,10,5.5,5.6,9.9
1130,Choper,1,5.5,8.6,9.9
11130,Nico,2,5.5,5.9,9.9
15130,Franky,3,5.5,0.6,9.9
17130,Icebug,4,5.5,9.6,9.9
129130,Lara,5,5.5,5.2,9.9
12030,Marlene,6,5.5,3.6,9.9
121530,Pabline,7,5.5,4.6,9.9
121340,Raphael,8,5.5,5.6,9.9
121303,Policena,9,5.5,6.6,9.9
121330,Cristiano,10,5.5,4.6,9.9
121350,Araujo,1,5.5,5.6,1.9

